Cache_Size,Block_Size,Associativity,Replacement_Policy,Cache_Hit_Rate
128,8,4,Random,0.9766
128,8,4,NMRU+Random,0.9781
128,8,8,LRU,0.9801
128,8,8,Random,0.9781
128,8,8,NMRU+Random,0.9788
128,8,16,LRU,0.9806
128,8,16,Random,0.9787
128,8,16,NMRU+Random,0.9791
256,2,1,LRU,0.9873
256,2,1,Random,0.9873
256,2,1,NMRU+Random,0.9873
256,2,2,LRU,0.9913
256,2,2,Random,0.9911
256,2,2,NMRU+Random,0.9913
256,2,4,LRU,0.9928
256,2,4,Random,0.9928
256,2,4,NMRU+Random,0.9928
256,2,8,LRU,0.9929
256,2,8,Random,0.9929
256,2,8,NMRU+Random,0.9929
256,2,16,LRU,0.9929
256,2,16,Random,0.9929
256,2,16,NMRU+Random,0.9929
256,4,1,LRU,0.9837
256,4,1,Random,0.9837
256,4,1,NMRU+Random,0.9837
256,4,2,LRU,0.9902
256,4,2,Random,0.9899
256,4,2,NMRU+Random,0.9902
256,4,4,LRU,0.9918
256,4,4,Random,0.9919
256,4,4,NMRU+Random,0.9919
256,4,8,LRU,0.9926
256,4,8,Random,0.9927
256,4,8,NMRU+Random,0.9927
256,4,16,LRU,0.9928
256,4,16,Random,0.9928
256,4,16,NMRU+Random,0.9928
256,8,1,LRU,0.9778
256,8,1,Random,0.9778
256,8,1,NMRU+Random,0.9778
256,8,2,LRU,0.9858
256,8,2,Random,0.9852
256,8,2,NMRU+Random,0.9858
256,8,4,LRU,0.9873
256,8,4,Random,0.9872
256,8,4,NMRU+Random,0.9875
256,8,8,LRU,0.9876
256,8,8,Random,0.9878
256,8,8,NMRU+Random,0.9880
256,8,16,LRU,0.9880
256,8,16,Random,0.9888
256,8,16,NMRU+Random,0.9889
